Unnamed: 0,type,is_practice,original_item_cost,highlight_cost,click_values,payoff_matrix,original_cost_matrix,final_cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,is_control,highlight_index,selected_option_highlight_value,trial_type,trial_index,time_elapsed,nudge_highlighted_values_are_even,highlight_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight_check,highlight_num_reveals,participant_id,weights_sum
21,traffic-light-mouselab,False,3,1,"[10, 10, 10, 12, 12, 12]","[[3, 8, 7, 6, 6], [7, 4, 7, 4, 6], [5, 7, 4, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 0, 3, 3]]","[2, 1, 27]",27,34,21,4,0.051,0.049,0.002,"[10, 12]",2,5,3,6943,6,153,147,True,2,5,traffic-light-mouselab,25,531927,True,5,0,6,27,2,0,30
22,traffic-light-mouselab,False,3,1,"[5, 7]","[[8, 3, 8, 5, 2], [4, 2, 7, 4, 4], [6, 9, 7, 7, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 1], [3, 3, 3, 3, 3]]","[13, 10, 7]",10,6,22,2,0.074,0.0733333333333333,0.0006666666666666,"[5, 7]",2,5,3,3990,2,223,221,False,1,7,traffic-light-mouselab,26,537664,True,7,1,2,10,2,0,30
23,traffic-light-mouselab,False,3,1,"[6, 6, 6]","[[4, 6, 6, 5, 1], [5, 2, 4, 2, 4], [4, 5, 3, 6, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 0, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 23, 6]",23,26,23,3,0.029,0.028,0.001,[6],1,5,3,6959,3,87,84,True,1,2,traffic-light-mouselab,27,545854,True,2,0,3,23,1,0,30
24,traffic-light-mouselab,False,3,1,[],"[[5, 6, 7, 2, 5], [5, 7, 3, 3, 6], [5, 4, 5, 2, 9]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[6, 11, 13]",11,8,24,1,0.055,0.055,0.0,[],0,5,3,1770,0,165,165,True,1,7,traffic-light-mouselab,28,549167,True,7,1,0,11,0,0,30
25,traffic-light-mouselab,False,3,1,[],"[[6, 7, 6, 4, 5], [8, 4, 5, 3, 8], [6, 4, 0, 7, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 19, 10]",19,18,25,2,0.034,0.034,0.0,[],0,5,3,2194,0,101,101,True,1,5,traffic-light-mouselab,29,553859,True,5,0,0,19,0,0,30
26,traffic-light-mouselab,False,3,1,"[0, 2, 4]","[[4, 1, 5, 5, 4], [4, 4, 6, 5, 7], [7, 6, 5, 6, 7]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[28, 1, 1]",28,36,26,2,0.05,0.049,0.001,"[0, 2, 4]",3,5,3,5201,3,151,148,False,0,5,traffic-light-mouselab,30,560588,True,5,1,3,28,3,0,30
27,traffic-light-mouselab,False,3,1,"[0, 0, 0]","[[0, 7, 10, 1, 4], [3, 4, 5, 4, 8], [4, 2, 5, 4, 0]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[15, 5, 10]",15,10,27,3,0.025,0.024,0.001,[0],1,5,3,11576,3,75,72,True,0,1,traffic-light-mouselab,31,573343,True,1,0,3,15,1,0,30
28,traffic-light-mouselab,False,3,1,"[11, 11, 11]","[[6, 3, 3, 6, 8], [7, 7, 2, 7, 5], [4, 5, 4, 4, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 0, 3, 3, 3]]","[6, 9, 15]",9,10,28,1,0.052,0.051,0.001,[11],1,5,3,5214,3,156,153,True,1,7,traffic-light-mouselab,32,580263,True,7,1,0,9,0,0,30
29,traffic-light-mouselab,False,3,1,"[5, 5, 5]","[[5, 8, 6, 7, 2], [5, 6, 5, 6, 5], [7, 7, 5, 5, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[7, 21, 2]",21,22,29,0,0.051,0.05,0.001,[5],1,5,3,4030,3,154,151,True,1,5,traffic-light-mouselab,33,585412,True,5,0,3,21,1,0,30
30,traffic-light-mouselab,False,3,1,[1],"[[6, 8, 6, 4, 3], [8, 5, 5, 4, 5], [8, 3, 7, 1, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[1, 0, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",18,16,30,1,0.067,0.0666666666666667,0.0003333333333333,[1],1,5,3,2629,1,200,199,False,0,8,traffic-light-mouselab,34,589861,True,8,1,1,18,1,0,30
