Unnamed: 0,type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,accepted_default,chose_nudge,og_baskets,actual_baskets,num_features,cost,reaction_time,trial_type,trial_index,time_elapsed,nudge_type,participant_id,points_click_cost,points_action_utility,points_metalevel_reward,source,n_prizes,n_baskets
71.0,mouselab,False,"[5, 5, 6, 6, 8, 8, 9, 9]","[[4, 5, 4, 6, 5], [6, 4, 7, 4, 4], [3, 4, 4, 4, 4], [6, 4, 6, 1, 4], [7, 3, 4, 4, 5]]","[[2, 2, 2, 2, 2], [0, 0, 2, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 14, 9, 2, 3]",22.0,4,0,0.051,0.0483333333333333,0.0026666666666666,"[5, 6, 8, 9]",default,control,0,False,True,5.0,5.0,5.0,2,14822.0,implicit-mouselab,8.0,311097.0,default,5,8.0,152.0,144.0,real,5,5
72.0,mouselab,False,"[5, 5, 6, 6, 8, 8, 9, 9, 7, 7]","[[3, 5, 7, 9, 3], [7, 4, 3, 5, 6], [4, 6, 5, 4, 5], [5, 7, 5, 5, 6], [4, 4, 6, 6, 6]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[7, 11, 2, 3, 7]",14.0,5,0,0.05,0.0466666666666666,0.0033333333333333,"[5, 6, 8, 9, 7]",default,default,3,False,False,5.0,5.0,5.0,2,14024.0,implicit-mouselab,9.0,328594.0,default,5,10.0,149.0,139.0,real,5,5
73.0,mouselab,False,[],"[[4, 1], [6, 4]]","[[2, 2], [2, 2]]","[20, 10]",10.0,6,0,0.047,0.047,0.0,[],default,default,0,True,True,2.0,2.0,2.0,2,3639.0,implicit-mouselab,10.0,335953.0,default,5,0.0,140.0,140.0,real,2,2
74.0,mouselab,False,"[15, 15, 17, 17, 19, 19, 16, 16, 22, 22, 20, 20]","[[5, 3, 3, 6, 7], [3, 5, 4, 5, 4], [4, 3, 6, 3, 5], [5, 2, 5, 6, 3], [8, 2, 4, 8, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 0, 2, 0], [0, 2, 0, 2, 2]]","[1, 3, 1, 16, 9]",26.0,7,0,0.057,0.053,0.004,"[15, 17, 19, 16, 22, 20]",default,control,3,False,False,5.0,5.0,5.0,2,13255.0,implicit-mouselab,11.0,351706.0,default,5,12.0,170.0,158.0,real,5,5
75.0,mouselab,False,"[2, 2, 3, 3]","[[6, 5], [2, 4]]","[[2, 2], [0, 0]]","[3, 27]",24.0,8,1,0.041,0.0396666666666666,0.0013333333333333,"[2, 3]",default,default,1,False,True,2.0,2.0,2.0,2,5887.0,implicit-mouselab,12.0,358843.0,default,5,4.0,123.0,119.0,real,2,2
76.0,mouselab,False,"[8, 8, 9, 9]","[[6, 3], [6, 2], [5, 4], [6, 6], [7, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [0, 0]]","[3, 5, 5, 7, 10]",10.0,9,0,0.062,0.0606666666666666,0.0013333333333333,"[8, 9]",default,control,0,False,True,2.0,2.0,5.0,2,5629.0,implicit-mouselab,13.0,366121.0,default,5,4.0,185.0,181.0,real,5,2
77.0,mouselab,False,"[5, 5, 8, 8, 7, 7]","[[6, 6, 3, 7, 6], [4, 3, 7, 6, 4]]","[[2, 2, 2, 2, 2], [0, 2, 0, 0, 2]]","[5, 25]",20.0,10,2,0.063,0.061,0.002,"[5, 8, 7]",default,control,3,False,False,5.0,5.0,2.0,2,6679.0,implicit-mouselab,14.0,373698.0,default,5,6.0,190.0,184.0,real,2,5
78.0,mouselab,False,[],"[[5, 7], [4, 7], [5, 7], [3, 6], [2, 3]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[5, 7, 6, 5, 7]",4.0,11,1,0.059,0.059,0.0,[],default,default,1,True,True,2.0,2.0,5.0,2,5615.0,implicit-mouselab,15.0,381097.0,default,5,0.0,177.0,177.0,real,5,2
79.0,mouselab,False,"[0, 0, 1, 1]","[[7, 5], [6, 7]]","[[0, 0], [2, 2]]","[21, 9]",12.0,12,0,0.067,0.0656666666666666,0.0013333333333333,"[0, 1]",default,control,0,False,True,2.0,2.0,2.0,2,4447.0,implicit-mouselab,16.0,386434.0,default,5,4.0,201.0,197.0,real,2,2
80.0,mouselab,False,"[5, 5, 7, 7, 8, 8, 6, 6]","[[6, 7, 7, 6, 7], [5, 5, 7, 2, 6]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 2]]","[6, 24]",18.0,13,2,0.07,0.0673333333333333,0.0026666666666666,"[5, 7, 8, 6]",default,default,2,False,True,5.0,5.0,2.0,2,9030.0,implicit-mouselab,17.0,396297.0,default,5,8.0,210.0,202.0,real,2,5
81.0,mouselab,False,"[16, 16, 17, 17, 19, 19, 15, 15, 18, 18]","[[6, 5, 5, 5, 5], [5, 7, 8, 5, 5], [5, 4, 5, 6, 5], [4, 4, 6, 7, 5], [6, 6, 5, 5, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2]]","[1, 8, 4, 13, 4]",18.0,14,3,0.06,0.0566666666666666,0.0033333333333333,"[16, 17, 19, 15, 18]",default,default,2,False,False,5.0,5.0,5.0,2,13911.0,implicit-mouselab,18.0,411697.0,default,5,10.0,180.0,170.0,real,5,5
82.0,mouselab,False,[],"[[5, 6], [7, 4], [6, 7], [4, 4], [4, 2]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[5, 8, 4, 2, 11]",14.0,15,0,0.052,0.052,0.0,[],default,default,0,True,True,2.0,2.0,5.0,2,4758.0,implicit-mouselab,19.0,417936.0,default,5,0.0,157.0,157.0,real,5,2
83.0,mouselab,False,"[2, 2, 3, 3]","[[5, 7], [2, 8]]","[[2, 2], [0, 0]]","[2, 28]",26.0,16,1,0.079,0.0776666666666666,0.0013333333333333,"[2, 3]",default,control,1,False,True,2.0,2.0,2.0,2,3312.0,implicit-mouselab,20.0,422401.0,default,5,4.0,238.0,234.0,real,2,2
84.0,mouselab,False,"[0, 0, 3, 3, 1, 1]","[[4, 8], [4, 5], [5, 2], [4, 5], [4, 6]]","[[0, 0], [2, 0], [2, 2], [2, 2], [2, 2]]","[10, 10, 1, 6, 3]",16.0,17,1,0.06,0.0579999999999999,0.002,"[0, 3, 1]",default,control,1,False,True,2.0,2.0,5.0,2,9304.0,implicit-mouselab,21.0,433210.0,default,5,6.0,180.0,174.0,real,5,2
85.0,mouselab,False,"[7, 7, 6, 6]","[[3, 6], [4, 6], [2, 6], [7, 6], [5, 3]]","[[2, 2], [2, 2], [2, 2], [0, 0], [2, 2]]","[2, 2, 2, 19, 5]",26.0,18,0,0.059,0.0576666666666666,0.0013333333333333,"[7, 6]",default,default,1,False,False,2.0,2.0,5.0,2,6854.0,implicit-mouselab,22.0,441458.0,default,5,4.0,176.0,172.0,real,5,2
86.0,mouselab,False,"[3, 3, 2, 2]","[[5, 7], [4, 6]]","[[2, 2], [0, 0]]","[3, 27]",24.0,19,1,0.061,0.0596666666666666,0.0013333333333333,"[3, 2]",default,default,1,False,True,2.0,2.0,2.0,2,5846.0,implicit-mouselab,23.0,448233.0,default,5,4.0,183.0,179.0,real,2,2
87.0,mouselab,False,"[6, 6, 8, 8, 7, 7]","[[7, 3, 7, 6, 6], [8, 6, 6, 7, 5]]","[[2, 2, 2, 2, 2], [2, 0, 0, 0, 2]]","[11, 19]",8.0,20,3,0.066,0.064,0.002,"[6, 8, 7]",default,control,0,False,False,5.0,5.0,2.0,2,6271.0,implicit-mouselab,24.0,455290.0,default,5,6.0,199.0,193.0,real,2,5
88.0,mouselab,False,"[0, 0, 2, 2, 4, 4]","[[10, 5, 3, 7, 7], [4, 4, 7, 5, 7]]","[[0, 2, 0, 2, 0], [2, 2, 2, 2, 2]]","[29, 1]",28.0,21,0,0.098,0.096,0.002,"[0, 2, 4]",default,control,0,False,True,5.0,5.0,2.0,2,4535.0,implicit-mouselab,25.0,460649.0,default,5,6.0,294.0,288.0,real,2,5
89.0,mouselab,False,"[6, 6, 7, 7]","[[8, 2], [3, 7], [5, 6], [3, 4], [5, 3]]","[[2, 2], [2, 2], [2, 2], [0, 0], [2, 2]]","[2, 6, 2, 18, 2]",24.0,22,1,0.045,0.0436666666666666,0.0013333333333333,"[6, 7]",default,control,0,False,False,2.0,2.0,5.0,2,3263.0,implicit-mouselab,26.0,465513.0,default,5,4.0,136.0,132.0,real,5,2
90.0,mouselab,False,"[2, 2, 3, 3, 6, 6, 7, 7]","[[4, 4], [6, 5], [4, 6], [5, 2], [6, 8]]","[[2, 2], [0, 0], [2, 2], [0, 0], [2, 2]]","[1, 17, 4, 6, 2]",22.0,23,0,0.055,0.0523333333333333,0.0026666666666666,"[2, 3, 6, 7]",default,default,0,False,True,2.0,2.0,5.0,2,11111.0,implicit-mouselab,27.0,478025.0,default,5,8.0,164.0,156.0,real,5,2
91.0,mouselab,False,"[0, 0, 1, 1]","[[4, 6, 5, 5, 6], [4, 6, 4, 4, 4]]","[[0, 0, 2, 2, 2], [2, 2, 2, 2, 2]]","[22, 8]",14.0,24,3,0.047,0.0456666666666666,0.0013333333333333,"[0, 1]",default,default,1,False,False,5.0,5.0,2.0,2,6704.0,implicit-mouselab,28.0,487777.0,default,5,4.0,142.0,138.0,real,2,5
92.0,mouselab,False,"[0, 0, 1, 1]","[[3, 5], [4, 4]]","[[0, 0], [2, 2]]","[21, 9]",12.0,25,1,0.047,0.0456666666666666,0.0013333333333333,"[0, 1]",default,control,1,False,True,2.0,2.0,2.0,2,6343.0,implicit-mouselab,29.0,494881.0,default,5,4.0,141.0,137.0,real,2,2
93.0,mouselab,False,"[0, 0, 2, 2, 3, 3, 8, 8, 7, 7]","[[4, 2, 6, 6, 2], [7, 7, 6, 6, 4]]","[[0, 2, 0, 0, 2], [2, 2, 0, 0, 2]]","[18, 12]",6.0,26,3,0.06,0.0566666666666666,0.0033333333333333,"[0, 2, 3, 8, 7]",default,control,3,False,True,5.0,5.0,2.0,2,8839.0,implicit-mouselab,30.0,504688.0,default,5,10.0,180.0,170.0,real,2,5
94.0,mouselab,False,[],"[[2, 7, 5, 5, 8], [3, 7, 2, 5, 4], [5, 5, 8, 7, 5], [6, 3, 7, 2, 6], [4, 7, 7, 5, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 7, 7, 6, 8]",8.0,27,2,0.059,0.059,0.0,[],default,default,2,True,True,5.0,5.0,5.0,2,2415.0,implicit-mouselab,31.0,508424.0,default,5,0.0,178.0,178.0,real,5,5
95.0,mouselab,False,"[6, 6, 7, 7, 5, 5]","[[7, 2], [6, 4], [5, 5], [3, 3], [7, 4]]","[[2, 2], [2, 2], [2, 0], [0, 0], [2, 2]]","[4, 2, 7, 14, 3]",18.0,28,1,0.035,0.033,0.002,"[6, 7, 5]",default,control,0,False,False,2.0,2.0,5.0,2,6681.0,implicit-mouselab,32.0,516665.0,default,5,6.0,105.0,99.0,real,5,2
